지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
108,서울,2010-01-01,-7.6,-12.7,654,-3.6,1501,
108,서울,2010-01-02,-3.6,-7.4,2359,.2,1524,1.4
108,서울,2010-01-03,-6.8,-10.5,748,-3.2,1438,
108,서울,2010-01-04,-5.9,-8,2400,-3.4,1425,14.2
108,서울,2010-01-05,-9.9,-12.3,2333,-7,1506,0
108,서울,2010-01-06,-11.2,-13.3,627,-8.1,1350,
108,서울,2010-01-07,-10.1,-13.6,554,-5.5,1450,
108,서울,2010-01-08,-8,-11.8,657,-3.3,1509,
108,서울,2010-01-09,-5.1,-8.7,528,-1.9,1438,.4
108,서울,2010-01-10,-3.4,-5.3,507,-.3,1418,
108,서울,2010-01-11,-5.2,-8.3,2356,-1.3,1327,
108,서울,2010-01-12,-10.3,-12.9,2358,-7.3,1430,
108,서울,2010-01-13,-13.2,-15.3,748,-10.7,1447,
108,서울,2010-01-14,-9.1,-14.4,543,-4.1,1507,0
108,서울,2010-01-15,-5,-7.5,27,-.6,1424,.3
108,서울,2010-01-16,-6.4,-10.1,641,-2.1,1552,
108,서울,2010-01-17,-4,-9,743,1.4,1421,
108,서울,2010-01-18,-.5,-3.9,405,1.9,1524,
108,서울,2010-01-19,2.7,-1.6,630,6.8,1424,3
108,서울,2010-01-20,5.8,2.4,2357,8.4,1431,7
108,서울,2010-01-21,-4.1,-8,2357,2.4,0,.5
108,서울,2010-01-22,-7,-9.6,631,-3.4,1519,
108,서울,2010-01-23,-5.3,-9.1,605,-.9,1608,
108,서울,2010-01-24,.3,-4.5,0,3.8,1322,
108,서울,2010-01-25,-3,-8.5,2357,2.6,201,
108,서울,2010-01-26,-4.1,-9.5,632,1.1,1512,
108,서울,2010-01-27,-.2,-4,230,3.1,1308,2.5
108,서울,2010-01-28,-.4,-5,2356,2.7,1315,
108,서울,2010-01-29,-2.1,-7.3,322,1.4,1616,0
108,서울,2010-01-30,1.5,-1.7,738,5,1318,
108,서울,2010-01-31,1.8,-.5,348,4.3,1530,
108,서울,2010-02-01,.8,-2.6,2358,5.1,1528,
108,서울,2010-02-02,-6.2,-9.1,2353,-2.6,0,
108,서울,2010-02-03,-8,-10.8,752,-5,1536,
108,서울,2010-02-04,-4.3,-8.3,644,-.6,1447,0
108,서울,2010-02-05,-5.5,-7.9,753,-1.9,1529,
108,서울,2010-02-06,-4.7,-9.6,736,.9,1614,
108,서울,2010-02-07,.7,-6.3,627,5.6,1544,
108,서울,2010-02-08,4,3,403,5.7,1235,0
108,서울,2010-02-09,3.7,2.9,555,4.4,102,12
108,서울,2010-02-10,3.9,3.1,554,5,1714,2
108,서울,2010-02-11,.6,-.8,959,3.5,141,10.5
108,서울,2010-02-12,-.3,-1.8,344,1.1,1513,.3
108,서울,2010-02-13,-2.3,-3.3,2128,-.3,1518,1.3
108,서울,2010-02-14,-2.2,-5,607,1.2,1548,
108,서울,2010-02-15,-3.1,-6,2350,-.3,1344,
108,서울,2010-02-16,-4.5,-8,738,-.4,1450,
108,서울,2010-02-17,-3.2,-7.2,507,.3,1646,.2
108,서울,2010-02-18,-2.9,-4.4,939,-1,329,2.5
108,서울,2010-02-19,-1,-4.7,631,2.5,1530,
108,서울,2010-02-20,3,-1.6,709,8.1,1542,
108,서울,2010-02-21,4.8,0,557,9.6,1457,
108,서울,2010-02-22,6.5,3.5,2350,11,1429,0
108,서울,2010-02-23,8.2,1.6,619,16.2,1615,
108,서울,2010-02-24,12.2,5.5,412,17.9,1334,
108,서울,2010-02-25,12,9.8,2352,14.8,21,26.5
108,서울,2010-02-26,12,9,358,17.2,1612,
108,서울,2010-02-27,8.6,6,824,11,1337,
108,서울,2010-02-28,6.8,5.4,746,9.1,1338,0
108,서울,2010-03-01,2.9,1.1,1022,6.3,5,17
108,서울,2010-03-02,2.7,.6,2344,4.8,1400,
108,서울,2010-03-03,4.4,-1.5,602,10.2,1535,
108,서울,2010-03-04,5.5,4.5,627,6.3,0,1.5
108,서울,2010-03-05,6.4,3.9,602,9.5,1322,.3
108,서울,2010-03-06,6,2,809,10.7,1510,
108,서울,2010-03-07,4.9,2.6,610,7.8,1124,
108,서울,2010-03-08,4.1,1,437,7.7,1200,
108,서울,2010-03-09,1.5,-3.9,2215,5.7,1229,14
108,서울,2010-03-10,-1.4,-4,2,.5,1602,7.1
108,서울,2010-03-11,2.3,-2.7,506,6,1615,
108,서울,2010-03-12,5.8,.9,2341,10,1133,
108,서울,2010-03-13,2.4,-1.9,634,7.9,1541,
108,서울,2010-03-14,7.2,1.2,410,12.6,1234,7
108,서울,2010-03-15,7.9,2.8,2355,11.1,1238,12.5
